"name","state","state_fips","full_fips","total"
"1","Conecuh County","AL","01","01035",0
"2","Escambia County","AL","01","01053",2
"3","Greene County","AL","01","01063",0
"4","Marengo County","AL","01","01091",2
"5","Mobile County","AL","01","01097",7
"6","Monroe County","AL","01","01099",0
"7","Perry County","AL","01","01105",0
"8","Sumter County","AL","01","01119",0
"9","Tuscaloosa County","AL","01","01125",57
"10","Baldwin County","AL","01","01003",28
"11","Clarke County","AL","01","01025",14
"12","Washington County","AL","01","01129",1
"13","Choctaw County","AL","01","01023",0
"14","Dallas County","AL","01","01047",0
"15","Wilcox County","AL","01","01131",0
"16","Pickens County","AL","01","01107",0
"17","Bibb County","AL","01","01007",5
"18","Hale County","AL","01","01065",1
"19","Jefferson County","AL","01","01073",417
"20","Lamar County","AL","01","01075",0
"21","Lauderdale County","AL","01","01077",11
"22","Lawrence County","AL","01","01079",2
"23","Limestone County","AL","01","01083",14
"24","Marion County","AL","01","01093",2
"25","Winston County","AL","01","01133",2
"26","Fayette County","AL","01","01057",0
"27","Walker County","AL","01","01127",11
"28","Colbert County","AL","01","01033",11
"29","Franklin County","AL","01","01059",2
"30","Crenshaw County","AL","01","01041",4
"31","Houston County","AL","01","01069",34
"32","Montgomery County","AL","01","01101",106
"33","Chambers County","AL","01","01017",0
"34","Lee County","AL","01","01081",72
"35","Randolph County","AL","01","01111",0
"36","Russell County","AL","01","01113",24
"37","Talladega County","AL","01","01121",13
"38","Covington County","AL","01","01039",9
"39","Geneva County","AL","01","01061",1
"40","Coffee County","AL","01","01031",15
"41","Dale County","AL","01","01045",4
"42","Henry County","AL","01","01067",0
"43","Autauga County","AL","01","01001",12
"44","Butler County","AL","01","01013",2
"45","Lowndes County","AL","01","01085",0
"46","Barbour County","AL","01","01005",2
"47","Bullock County","AL","01","01011",0
"48","Macon County","AL","01","01087",5
"49","Pike County","AL","01","01109",16
"50","Chilton County","AL","01","01021",5
"51","Elmore County","AL","01","01051",21
"52","Coosa County","AL","01","01037",1
"53","Shelby County","AL","01","01117",166
"54","Clay County","AL","01","01027",0
"55","Tallapoosa County","AL","01","01123",2
"56","Blount County","AL","01","01009",36
"57","St. Clair County","AL","01","01115",56
"58","Cullman County","AL","01","01043",24
"59","Madison County","AL","01","01089",108
"60","Cherokee County","AL","01","01019",9
"61","Jackson County","AL","01","01071",3
"62","Etowah County","AL","01","01055",46
"63","Calhoun County","AL","01","01015",37
"64","Cleburne County","AL","01","01029",2
"65","Marshall County","AL","01","01095",38
"66","Morgan County","AL","01","01103",47
"67","DeKalb County","AL","01","01049",8
"68","Aleutians West Census Area","AK","02","02016",0
"69","Bethel Census Area","AK","02","02050",0
"70","North Slope Borough","AK","02","02185",0
"71","Northwest Arctic Borough","AK","02","02188",0
"72","Aleutians East Borough","AK","02","02013",0
"73","Dillingham Census Area","AK","02","02070",0
"74","Nome","AK","02","02180",0
"75","Kusilvak Census Area","AK","2","2158",0
"76","Kodiak Island Borough","AK","02","02150",0
"77","Lake and Peninsula Borough","AK","02","02164",0
"78","Petersburg Borough","AK","2","2195",0
"79","Sitka","AK","02","02220",0
"80","Bristol Bay Borough","AK","02","02060",0
"81","Denali Borough","AK","02","02068",0
"82","Fairbanks North Star Borough","AK","02","02090",0
"83","Matanuska-Susitna Borough","AK","02","02170",0
"84","Copper River","AK","2","2066",0
"85","Kenai Peninsula Borough","AK","02","02122",0
"86","Yukon-Koyukuk","AK","02","02290",0
"87","Chugach","AK","2","2063",0
"88","Anchorage","AK","02","02020",0
"89","Hoonah-Angoon","AK","2","2105",0
"90","Southeast Fairbanks","AK","02","02240",0
"91","Yakutat","AK","02","02282",0
"92","Haines Borough","AK","02","02100",0
"93","Juneau","AK","02","02110",0
"94","Skagway","AK","2","2230",0
"95","Wrangell","AK","2","2275",0
"96","Ketchikan Gateway Borough","AK","02","02130",0
"97","Prince of Wales-Hyder","AK","2","2198",0
"98","Apache County","AZ","04","04001",4
"99","Maricopa County","AZ","04","04013",804
"100","La Paz County","AZ","04","04012",10
"101","Yuma County","AZ","04","04027",40
"102","Mohave County","AZ","04","04015",24
"103","Gila County","AZ","04","04007",23
"104","Pima County","AZ","04","04019",213
"105","Pinal County","AZ","04","04021",293
"106","Santa Cruz County","AZ","04","04023",8
"107","Cochise County","AZ","04","04003",64
"108","Graham County","AZ","04","04009",32
"109","Greenlee County","AZ","04","04011",0
"110","Coconino County","AZ","04","04005",64
"111","Navajo County","AZ","04","04017",14
"112","Yavapai County","AZ","04","04025",90
"113","Miller County","AR","05","05091",5
"114","Polk County","AR","05","05113",0
"115","Crawford County","AR","05","05033",12
"116","Franklin County","AR","05","05047",2
"117","Logan County","AR","05","05083",0
"118","Madison County","AR","05","05087",0
"119","Scott County","AR","05","05127",0
"120","Hempstead County","AR","05","05057",0
"121","Howard County","AR","05","05061",0
"122","Little River County","AR","05","05081",0
"123","Sevier County","AR","05","05133",0
"124","Sebastian County","AR","05","05131",21
"125","Benton County","AR","05","05007",34
"126","Washington County","AR","05","05143",12
"127","Ashley County","AR","05","05003",0
"128","Columbia County","AR","05","05027",0
"129","Chicot County","AR","05","05017",0
"130","Lafayette County","AR","05","05073",0
"131","Union County","AR","05","05139",13
"132","Nevada County","AR","05","05099",0
"133","Independence County","AR","05","05063",0
"134","Jackson County","AR","05","05067",0
"135","Lee County","AR","05","05077",0
"136","Monroe County","AR","05","05095",0
"137","Newton County","AR","05","05101",0
"138","Poinsett County","AR","05","05111",7
"139","Stone County","AR","05","05137",0
"140","Van Buren County","AR","05","05141",0
"141","Arkansas County","AR","05","05001",0
"142","Lonoke County","AR","05","05085",13
"143","Pope County","AR","05","05115",0
"144","Yell County","AR","05","05149",0
"145","Perry County","AR","05","05105",0
"146","Pulaski County","AR","05","05119",123
"147","Clark County","AR","05","05019",0
"148","Hot Spring County","AR","05","05059",4
"149","Lincoln County","AR","05","05079",0
"150","Ouachita County","AR","05","05103",0
"151","Pike County","AR","05","05109",0
"152","Desha County","AR","05","05041",0
"153","Cleveland County","AR","05","05025",0
"154","Dallas County","AR","05","05039",3
"155","Bradley County","AR","05","05011",3
"156","Calhoun County","AR","05","05013",0
"157","Garland County","AR","05","05051",4
"158","Montgomery County","AR","05","05097",0
"159","Grant County","AR","05","05053",16
"160","Saline County","AR","05","05125",30
"161","Drew County","AR","05","05043",0
"162","Prairie County","AR","05","05117",1
"163","Jefferson County","AR","05","05069",0
"164","Phillips County","AR","05","05107",0
"165","Johnson County","AR","05","05071",1
"166","Conway County","AR","05","05029",1
"167","Faulkner County","AR","05","05045",8
"168","Boone County","AR","05","05009",6
"169","Carroll County","AR","05","05015",0
"170","Baxter County","AR","05","05005",0
"171","Marion County","AR","05","05089",0
"172","Searcy County","AR","05","05129",0
"173","White County","AR","05","05145",13
"174","Woodruff County","AR","05","05147",0
"175","Cleburne County","AR","05","05023",4
"176","Cross County","AR","05","05037",9
"177","St. Francis County","AR","05","05123",0
"178","Fulton County","AR","05","05049",0
"179","Izard County","AR","05","05065",0
"180","Sharp County","AR","05","05135",0
"181","Clay County","AR","05","05021",0
"182","Craighead County","AR","05","05031",15
"183","Greene County","AR","05","05055",1
"184","Lawrence County","AR","05","05075",0
"185","Randolph County","AR","05","05121",9
"186","Crittenden County","AR","05","05035",3
"187","Mississippi County","AR","05","05093",0
"188","Monterey County","CA","06","06053",239
"189","Fresno County","CA","06","06019",141
"190","San Luis Obispo County","CA","06","06079",59
"191","San Benito County","CA","06","06069",19
"192","Napa County","CA","06","06055",35
"193","Nevada County","CA","06","06057",76
"194","Sonoma County","CA","06","06097",244
"195","Lassen County","CA","06","06035",3
"196","Calaveras County","CA","06","06009",0
"197","Sierra County","CA","06","06091",0
"198","Yuba County","CA","06","06115",20
"199","Colusa County","CA","06","06011",8
"200","Plumas County","CA","06","06063",0
"201","Sutter County","CA","06","06101",17
"202","El Dorado County","CA","06","06017",70
"203","Tehama County","CA","06","06103",5
"204","Mendocino County","CA","06","06045",30
"205","Amador County","CA","06","06005",4
"206","Glenn County","CA","06","06021",0
"207","Santa Clara County","CA","06","06085",948
"208","Merced County","CA","06","06047",41
"209","Butte County","CA","06","06007",37
"210","Placer County","CA","06","06061",199
