"name","state","state_fips","full_fips","total","total_population","median_age","median_household_income","median_home_value","poverty_rate","percent_white","percent_black","percent_native_american","percent_asian","percent_hispanic","percent_native_born","percent_naturalized","percent_us_citizen","percent_bachelors_or_higher","unemployment_rate","employment_rate","percent_homeownership"
"1","Conecuh County","AL",1,1035,0,11411,46.3,42266,101300,27.64,50.21,45.75,0.15,0.24,0.89,0.29,0.69,98.85,13.13,3.36,37.33,74.93
"2","Escambia County","AL",1,1053,2,36695,40.5,44447,122700,21.2,60.98,30.67,3.01,0.29,2.28,0.18,0.7,98.35,12.49,4.47,44.44,68.69
"3","Greene County","AL",1,1063,0,7589,44.4,31495,86400,35.91,17.92,81.51,0.12,0,0.75,0.11,1.13,98.42,12.48,1.34,38.88,69.74
"4","Marengo County","AL",1,1091,2,19027,41.1,44205,103400,22.57,45.05,51.34,0.39,0.34,2.38,0.66,0.58,98.61,20.41,1.19,48.5,69.05
"5","Mobile County","AL",1,1097,7,413162,38.4,58119,176600,16.27,56.13,36.04,0.39,2.08,3.33,1.44,1.84,96.03,25.15,3.07,54.7,64.87
"6","Monroe County","AL",1,1099,0,19580,43.9,40225,114900,22.61,53.69,42.19,1.01,0.33,0.15,0.13,0.38,98.7,11.36,5.34,39.63,70.21
"7","Perry County","AL",1,1105,0,8231,42.5,34368,87700,31.24,28.02,70.99,0,0.07,0.22,0.47,0.07,99.28,16.85,6.04,32.27,69.33
"8","Sumter County","AL",1,1119,0,12020,34.9,37981,84100,28.11,25.87,71.19,0.12,0.42,0.83,0.45,0.22,98.9,19.03,4.03,42.87,69.61
"9","Tuscaloosa County","AL",1,1125,57,234036,33,63947,233700,16.65,60.87,31.95,0.22,1.65,5.38,2.63,1.42,95.21,31.38,3.31,58.23,62.16
"10","Baldwin County","AL",1,1003,28,239945,43.7,75019,287000,10.51,82.82,7.98,0.41,0.95,5.58,2.14,1.66,95.05,32.8,1.85,56.17,77.54
"11","Clarke County","AL",1,1025,14,22802,42.5,49167,126400,20.54,51.53,45.43,0.04,0.31,1.14,0.46,0.51,98.77,15.43,6.58,43.46,70.92
"12","Washington County","AL",1,1129,1,15270,44.1,60503,152800,18.45,66.93,22.68,6.44,0.28,1.67,0.32,0.62,98.95,16.2,3.05,46.38,85.89
"13","Choctaw County","AL",1,1023,0,12525,47,44483,111800,19.53,56.69,38.18,0.12,0.18,1.09,0.33,0.08,98.72,13.91,2.55,43.86,82.22
"14","Dallas County","AL",1,1047,0,37536,40.3,36810,97400,29,27.19,70.51,0.25,0.6,0.91,0.96,0.58,98.2,17.01,5.73,46.78,61.01
"15","Wilcox County","AL",1,1131,0,10347,42,42236,84200,29.03,27.56,70.73,0,0.07,0.11,0.04,0.06,99.49,12.34,5.62,40.84,77.9
"16","Pickens County","AL",1,1107,0,18843,42.5,47014,123300,22.57,58.2,39.27,0.25,0.05,5.77,3.4,0.91,95.27,13.75,3.05,43.94,75.44
"17","Bibb County","AL",1,1007,5,22152,41.3,51215,132600,20.51,75.09,20.71,0.79,0.23,3.36,1.05,0.22,97.85,11.47,5.15,46.43,77.18
