name,state,nist:state_fips,nist:fips_code,total
Conecuh County,AL,NA,NA,0
Escambia County,AL,NA,NA,2
Greene County,AL,NA,NA,0
Marengo County,AL,NA,NA,2
Mobile County,AL,NA,NA,7
Monroe County,AL,NA,NA,0
Perry County,AL,NA,NA,0
Sumter County,AL,NA,NA,0
Tuscaloosa County,AL,NA,NA,57
Baldwin County,AL,NA,NA,28
Clarke County,AL,NA,NA,14
Washington County,AL,NA,NA,1
Choctaw County,AL,NA,NA,0
Dallas County,AL,NA,NA,0
Wilcox County,AL,NA,NA,0
Pickens County,AL,NA,NA,0
Bibb County,AL,NA,NA,5
Hale County,AL,NA,NA,1
Jefferson County,AL,NA,NA,417
Lamar County,AL,NA,NA,0
Lauderdale County,AL,NA,NA,11
Lawrence County,AL,NA,NA,2
Limestone County,AL,NA,NA,14
Marion County,AL,NA,NA,2
Winston County,AL,NA,NA,2
Fayette County,AL,NA,NA,0
Walker County,AL,NA,NA,11
Colbert County,AL,NA,NA,11
Franklin County,AL,NA,NA,2
Crenshaw County,AL,NA,NA,4
Houston County,AL,NA,NA,34
Montgomery County,AL,NA,NA,106
Chambers County,AL,NA,NA,0
Lee County,AL,NA,NA,72
Randolph County,AL,NA,NA,0
Russell County,AL,NA,NA,24
Talladega County,AL,NA,NA,13
Covington County,AL,NA,NA,9
Geneva County,AL,NA,NA,1
Coffee County,AL,NA,NA,15
Dale County,AL,NA,NA,4
Henry County,AL,NA,NA,0
Autauga County,AL,NA,NA,12
Butler County,AL,NA,NA,2
Lowndes County,AL,NA,NA,0
Barbour County,AL,NA,NA,2
Bullock County,AL,NA,NA,0
Macon County,AL,NA,NA,5
Pike County,AL,NA,NA,16
Chilton County,AL,NA,NA,5
Elmore County,AL,NA,NA,21
Coosa County,AL,NA,NA,1
Shelby County,AL,NA,NA,166
Clay County,AL,NA,NA,0
Tallapoosa County,AL,NA,01123,2
Blount County,AL,NA,NA,36
St. Clair County,AL,NA,NA,56
Cullman County,AL,NA,NA,24
Madison County,AL,NA,NA,108
Cherokee County,AL,NA,NA,9
Jackson County,AL,NA,NA,3
Etowah County,AL,NA,NA,46
Calhoun County,AL,NA,NA,37
Cleburne County,AL,NA,NA,2
Marshall County,AL,NA,NA,38
Morgan County,AL,NA,NA,47
DeKalb County,AL,NA,NA,8
Aleutians West Census Area,AK,02,02016,0
Unorganized Borough,AK,NA,NA,0
Bethel Census Area,AK,02,02050,0
North Slope Borough,AK,02,02185,0
Northwest Arctic Borough,AK,02,02188,0
Aleutians East Borough,AK,02,02013,0
Dillingham Census Area,AK,02,02070,0
Nome,AK,02,02180,0
Kusilvak Census Area,AK,02,02158,0
Inuvialuit Settlement Region,AK,NA,NA,0
Kodiak Island Borough,AK,02,02150,0
Lake and Peninsula Borough,AK,02,02164,0
Stikine Region,AK,NA,NA,0
Petersburg Borough,AK,02,02195,0
Sitka,AK,02,02220,0
Bristol Bay Borough,AK,02,02060,0
Denali Borough,AK,02,02068,0
Fairbanks North Star Borough,AK,02,02090,0
Matanuska-Susitna Borough,AK,02,02170,0
Copper River,AK,02,02066,0
Kenai Peninsula Borough,AK,02,02122,0
Yukon-Koyukuk,AK,02,02290,0
Chugach,AK,02,02063,0
Anchorage,AK,02,02020,0
Hoonah-Angoon,AK,02,02105,0
Southeast Fairbanks,AK,02,02240,0
Yakutat,AK,02,02282,0
Haines Borough,AK,02,02100,0
Juneau,AK,02,02110,0
Skagway,AK,02,02230,0
North Coast Regional District,AK,NA,NA,0
Wrangell,AK,02,02275,0
Ketchikan Gateway Borough,AK,02,02130,0
Prince of Wales-Hyder,AK,02,02198,0
Apache County,AZ,4,4001,4
Maricopa County,AZ,4,4013,804
La Paz County,AZ,4,4012,10
Yuma County,AZ,4,4027,40
Mohave County,AZ,4,4015,24
Gila County,AZ,4,4007,23
Pima County,AZ,4,4019,213
Pinal County,AZ,4,4021,293
