GEO_ID,county_name,state,county,pop_foreign_born,pop_not_citizen,pop_language_not_english,pop_not_in_labor_force,pop_private_wage_salary_workers,pop_households_fs_snap,pop_no_health_insurance,_pop_total,pop_hispanic,pop_NH_white,pop_NH_black,pop_NH_AIAN,pop_NH_asian,pop_NH_NHPI,pop_NH_some_other,pop_NH_two_or_more,pop_unhoused,pop_not_hs_graduate,pop_commute_drove_or_carpooled
0500000US01001,"Autauga County, Alabama",01,001,1562,823,2123,19829,19648,2116,4250,59947,2289,42336,12244,36,663,5,128,2246,482,3593,24952
0500000US01003,"Baldwin County, Alabama",01,003,10220,5429,13881,82439,89696,6568,20193,246989,14276,199426,19824,657,2521,113,1376,8796,3124,14548,96264
0500000US01005,"Barbour County, Alabama",01,005,804,599,1697,11058,6012,1943,2221,24643,1534,10773,11417,26,145,0,313,435,3051,3852,7796
0500000US01007,"Bibb County, Alabama",01,007,410,367,454,9166,6349,1592,1414,22130,766,16240,4366,7,99,0,35,617,1589,2832,7383
0500000US01009,"Blount County, Alabama",01,009,2980,1934,4670,20263,21056,2731,6100,59518,6130,50316,716,73,64,81,155,1983,545,6914,23643
0500000US01011,"Bullock County, Alabama",01,011,306,220,554,4856,2347,1255,1038,10058,602,2114,6986,0,42,0,9,305,1320,1831,2985
0500000US01013,"Butler County, Alabama",01,013,433,251,541,7296,5947,1312,2256,18630,316,9407,8327,85,248,0,7,240,286,1708,6613
0500000US01015,"Calhoun County, Alabama",01,015,3377,1810,4296,41348,38188,8057,11669,116090,5388,80498,25021,194,935,151,417,3486,4303,10665,45020
0500000US01017,"Chambers County, Alabama",01,017,705,569,1171,12301,11487,2184,3690,34192,1372,18421,13121,22,81,3,93,1079,669,3956,13038
0500000US01019,"Cherokee County, Alabama",01,019,521,320,636,10846,7621,1121,1809,25443,469,22997,964,47,51,0,18,897,258,3342,9234
0500000US01021,"Chilton County, Alabama",01,021,2308,1510,3849,15173,15532,2613,5090,45992,4707,35126,4328,16,200,17,415,1183,360,4529,17437
0500000US01023,"Choctaw County, Alabama",01,023,60,51,235,5322,3644,823,1050,12380,144,7007,4645,22,3,0,6,553,128,1244,4311
