GEO_ID,pct_foreign_born,pct_not_citizen,pct_language_not_english,pct_not_in_labor_force,rate_unemployment,pct_private_wage_salary_workers,pct_households_fs_snap,pct_no_health_insurance,pct_people_impoverished,pct_hispanic,pct_NH_white,pct_NH_black,pct_NH_AIAN,pct_NH_asian,pct_NH_NHPI,pct_NH_some_other,pct_NH_two_or_more,pct_unhoused,pct_not_hs_graduate,pct_commute_drove_or_carpooled
0500000US01001,2.6,52.7,3.8,41.5,2.4,75.2,9.2,7.3,11.3,3.8,70.6,20.4,0.1,1.1,0.0,0.2,3.7,0.8,8.7,92.3
0500000US01003,4.1,53.1,5.9,41.1,3.0,78.7,6.7,8.3,10.1,5.8,80.7,8.0,0.3,1.0,0.0,0.6,3.6,1.26,8.2,85.5
0500000US01005,3.3,74.5,7.3,54.4,7.8,70.4,21.3,10.3,21.4,6.2,43.7,46.3,0.1,0.6,0.0,1.3,1.8,12.38,21.9,92.0
0500000US01007,1.9,89.5,2.2,50.3,12.1,79.7,20.7,6.9,22.5,3.5,73.4,19.7,0.0,0.4,0.0,0.2,2.8,7.18,17.7,92.9
0500000US01009,5.0,64.9,8.3,42.5,5.0,80.9,12.3,10.3,12.9,10.3,84.5,1.2,0.1,0.1,0.1,0.3,3.3,0.92,16.8,92.8
0500000US01011,3.0,71.9,5.8,58.9,7.2,74.5,34.0,11.8,33.3,6.0,21.0,69.5,0.0,0.4,0.0,0.1,3.0,13.12,25.2,97.2
0500000US01013,2.3,58.0,3.1,48.5,6.5,82.1,17.3,12.3,22.4,1.7,50.5,44.7,0.5,1.3,0.0,0.0,1.3,1.54,13.0,92.9
0500000US01015,2.9,53.6,3.9,43.9,6.0,77.2,17.9,10.2,17.9,4.6,69.3,21.6,0.2,0.8,0.1,0.4,3.0,3.71,13.6,92.0
0500000US01017,2.1,80.7,3.6,44.7,5.1,80.1,16.3,11.0,15.7,4.0,53.9,38.4,0.1,0.2,0.0,0.3,3.2,1.96,16.3,92.6
0500000US01019,2.0,61.4,2.6,51.0,3.9,76.2,11.0,7.2,14.8,1.8,90.4,3.8,0.2,0.2,0.0,0.1,3.5,1.01,17.6,93.9
0500000US01021,5.0,65.4,8.9,42.3,5.5,79.4,14.6,11.1,14.0,10.2,76.4,9.4,0.0,0.4,0.0,0.9,2.6,0.78,14.6,91.0
0500000US01023,0.5,85.0,2.0,52.1,5.0,78.5,15.7,8.6,16.5,1.2,56.6,37.5,0.2,0.0,0.0,0.0,4.5,1.03,13.8,94.8
0500000US01025,1.1,63.1,1.8,49.3,9.2,80.3,23.5,7.5,20.1,1.2,51.1,44.6,0.2,0.5,0.0,0.6,1.8,1.73,13.9,93.3
0500000US01027,1.0,33.6,3.1,52.8,2.4,75.6,14.2,7.2,17.6,3.3,78.9,12.8,0.2,0.4,0.0,0.1,4.4,1.61,16.8,89.6
0500000US01029,0.7,63.8,1.2,50.3,2.6,83.2,14.5,8.8,13.7,2.1,92.2,3.6,0.2,0.1,0.0,0.2,1.5,0.97,14.1,93.2
0500000US01031,4.6,59.0,8.0,42.9,5.1,70.3,11.5,10.4,16.7,9.8,67.5,15.6,0.5,1.1,0.0,0.2,5.3,1.38,12.9,93.6
0500000US01033,1.7,53.7,2.4,42.8,3.1,76.8,14.5,7.9,17.4,3.5,77.1,15.5,0.2,0.5,0.0,0.2,3.1,0.69,12.6,90.4
0500000US01035,0.8,46.8,1.3,59.5,8.7,79.8,20.0,8.0,27.8,1.0,50.0,44.9,0.2,0.1,0.0,0.1,3.7,0.81,10.7,90.6
0500000US01037,0.5,55.3,2.9,52.4,6.2,80.4,16.2,7.6,13.1,2.5,65.9,29.2,0.1,0.3,0.0,0.0,2.1,3.05,16.2,89.2
0500000US01039,1.2,52.8,1.6,47.7,5.2,75.9,14.2,9.4,19.2,2.0,82.3,11.9,0.2,0.5,0.0,0.3,2.8,1.64,14.8,94.5
0500000US01041,1.8,50.0,2.8,48.4,5.4,75.9,20.8,8.1,17.9,2.2,69.8,23.6,0.5,0.4,0.0,0.0,3.6,1.39,14.0,94.7
0500000US01043,2.3,66.8,4.4,42.0,3.8,79.0,10.0,10.9,15.3,5.0,89.5,1.0,0.3,0.5,0.0,0.1,3.6,1.19,13.7,94.3
0500000US01045,3.5,41.2,5.7,46.1,6.6,72.8,18.4,10.1,18.7,7.1,66.1,20.3,0.2,1.2,0.0,0.3,4.8,1.65,13.4,90.7
0500000US01047,1.9,62.0,2.0,47.7,11.0,78.7,36.2,8.2,31.0,1.0,26.6,69.9,0.1,0.6,0.0,0.0,1.8,1.18,12.4,91.5
0500000US01049,7.8,80.1,14.9,44.3,4.1,78.0,17.7,15.5,22.4,17.1,77.0,1.3,0.4,0.2,0.0,0.6,3.4,1.24,20.8,94.3
0500000US01051,2.0,54.8,2.7,40.2,4.6,74.1,10.5,7.7,10.3,3.4,71.8,21.1,0.1,0.5,0.0,0.1,3.0,4.74,10.3,90.9
0500000US01053,0.8,27.0,2.0,52.4,10.1,79.2,15.2,9.2,20.0,2.4,60.0,29.4,2.8,0.5,0.0,0.3,4.8,6.9,15.6,95.6
0500000US01055,2.4,66.9,4.3,44.8,5.9,76.2,15.7,11.4,16.9,5.2,76.2,14.7,0.1,0.7,0.0,0.4,2.8,1.53,13.9,93.7
0500000US01057,0.5,0.0,0.6,48.2,8.4,78.5,18.0,7.7,21.8,0.9,83.2,11.1,0.1,0.0,0.2,0.2,4.1,1.86,14.3,96.8
0500000US01059,9.8,70.0,17.9,42.9,3.6,78.0,20.0,12.7,19.1,20.6,72.5,4.0,0.1,0.1,0.0,0.3,2.4,0.97,19.5,96.7
0500000US01061,2.2,47.2,4.6,45.1,5.6,78.0,18.3,12.5,19.2,5.3,80.5,8.4,0.2,0.6,0.0,1.3,3.7,0.89,16.1,94.0
0500000US01063,0.6,2.4,0.5,59.7,4.0,66.2,31.9,13.7,40.1,0.1,17.8,81.2,0.1,0.0,0.0,0.0,0.6,1.55,13.1,93.5
0500000US01065,0.8,19.4,1.6,51.4,6.0,73.3,27.8,6.2,24.6,1.3,38.1,54.6,0.4,0.1,0.0,0.0,5.5,1.28,18.2,95.8
0500000US01067,0.9,51.3,1.7,44.9,3.6,73.9,14.1,9.1,18.3,2.2,70.2,24.8,0.2,0.2,0.0,0.0,2.4,1.2,16.4,94.1
0500000US01069,3.1,60.7,4.6,42.1,4.5,79.4,16.1,11.2,17.5,4.6,63.4,27.1,0.2,1.1,0.0,0.4,3.3,1.07,12.1,93.5
0500000US01071,1.9,54.7,3.3,48.5,4.5,77.9,12.3,10.3,17.3,3.6,88.2,3.1,0.4,0.5,0.0,0.2,4.0,1.16,17.2,93.3
0500000US01073,4.9,66.7,7.6,38.5,4.7,79.9,14.2,9.4,15.7,5.5,47.5,42.1,0.1,1.9,0.1,0.5,2.3,3.11,8.8,85.5
0500000US01075,0.5,66.7,0.9,49.0,5.5,76.8,20.5,8.0,18.0,1.9,85.6,10.0,0.2,0.0,0.0,0.2,2.1,0.8,16.5,92.0
0500000US01077,2.6,69.6,3.9,40.9,4.1,76.5,10.0,8.8,12.2,3.5,82.1,9.0,0.2,0.6,0.0,0.3,4.2,3.2,9.4,89.7
0500000US01079,1.3,58.3,3.0,43.1,2.0,80.0,15.1,8.0,13.3,3.1,75.5,9.3,3.7,0.4,0.0,0.1,7.8,0.7,15.0,94.0
0500000US01081,7.0,69.9,8.6,39.7,3.5,73.3,10.0,8.6,18.9,5.4,65.3,21.6,0.0,4.3,0.0,0.6,2.7,4.1,7.9,86.3
0500000US01083,4.1,51.7,6.4,40.0,3.3,78.4,8.8,7.8,10.0,7.5,72.3,12.7,0.3,1.7,0.0,0.5,5.1,2.74,13.3,87.6
0500000US01085,0.6,43.6,2.0,53.6,6.8,73.5,28.9,7.6,29.9,0.2,24.7,73.8,0.1,0.0,0.0,0.0,1.2,1.68,17.4,89.7
0500000US01087,1.5,56.4,2.2,48.8,8.3,74.8,24.1,9.4,24.3,2.2,16.8,77.5,0.0,0.3,0.0,0.1,3.1,13.93,15.4,80.9
0500000US01089,6.0,52.2,7.7,35.2,3.6,76.6,7.6,7.7,10.1,6.8,61.6,23.6,0.4,2.5,0.1,0.3,4.8,2.87,7.2,82.4
0500000US01091,1.6,55.4,2.3,49.1,4.1,77.9,23.6,9.2,21.9,2.7,44.3,50.8,0.1,0.3,0.0,0.0,1.9,1.24,14.2,91.3
0500000US01093,0.7,67.3,1.8,49.6,5.0,73.5,17.3,10.7,16.2,3.2,89.7,3.5,0.2,0.3,0.1,0.0,3.1,2.25,17.0,95.0
0500000US01095,7.0,69.6,13.3,42.6,3.9,78.5,12.4,12.0,16.6,17.2,76.4,2.5,0.2,0.6,0.1,0.2,2.8,1.1,15.2,92.2
