GEO_ID,state,county,county_name,avg_household_size,avg_family_size,pop_in_households,pop_in_school,pop_in_college,attainment_gt_12th,attainment_gt_bachelors,pop_veterans,pop_native,pop_foreign_born,naturalized_citizen,not_citizen,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,households_with_computer,households_with_internet,pop_in_labor_force,civilian_labor_force,civilian_labor_force_employed,civilian_labor_force_unemployed,armed_forces,pop_not_in_labor_force,work_commute_drove_alone,work_commute_carpooled,work_commute_public_transport,work_commute_walked,work_commute_other,work_commute_from_home,work_commute_avg_time_minutes,worker_class_private_or_salary,worker_class_government,worker_class_self_employed,worker_class_unpaid_family,median_household_income_dollars,avg_household_income_dollars,pop_noninstitutionalized,pop_with_health_insurance,pop_without_health_insurance,pop_total,pop_male,pop_female,pop_hispanic_alone,pop_white_alone,pop_black_alone,pop_american_indian_alaska_native_alone,pop_native_hawaiian_pacific_islander_alone,pop_other_race_alone,pop_two_or_more_races,pop_citizen_over_18,pop_citizen_over_18_male,pop_citizen_over_18_female,pop_in_school_not_college,attainment_lt_12th_no_diploma
0500000US01001,01,001,"Autauga County, Alabama",2.59,3.17,59465,14033,2773,37799,12061,4842,58385,1562,739,823,562,381,14,0,597,8,22131,21361,27992,26763,26122,641,1229,19829,22790,2162,14,14,254,1799,27.9,19648,5472,991,11,72481,102032,58355,54105,4250,59947,29126,30821,2289,42336,12244,36,5,128,2246,45204,21625,23579,11260.0,3593.0
0500000US01003,01,003,"Baldwin County, Alabama",2.47,3.02,243865,50542,9199,163080,59842,19604,236769,10220,4791,5429,2051,1950,292,79,5269,579,93572,89266,118112,117463,113907,3556,649,82439,89348,6916,99,1348,1721,13035,27.0,89696,15382,8725,104,78775,103378,243859,223666,20193,246989,120360,126629,14276,199426,19824,657,113,1376,8796,190330,91315,99015,41343.0,14548.0
0500000US01005,01,005,"Barbour County, Alabama",2.37,3.01,21592,5018,1080,13763,1872,1413,23839,804,205,599,42,128,3,3,609,19,8235,6890,9275,9256,8535,721,19,11058,7049,747,0,59,61,553,27.1,6012,1907,559,57,46042,66126,21581,19360,2221,24643,12928,11715,1534,10773,11417,26,0,313,435,19027,10180,8847,3938.0,3852.0
0500000US01007,01,007,"Bibb County, Alabama",2.67,3.19,20541,4469,744,13133,1872,1172,21720,410,43,367,51,49,0,0,310,0,7081,6390,9064,9064,7969,1095,0,9166,6740,643,58,64,60,379,31.7,6349,1122,498,0,52541,66481,20552,19138,1414,22130,11749,10381,766,16240,4366,7,0,35,617,17346,9252,8094,3725.0,2832.0
0500000US01009,01,009,"Blount County, Alabama",2.66,3.13,58973,13175,2053,34260,6513,2829,56538,2980,1046,1934,104,69,0,22,2696,89,20748,18851,27396,27388,26019,1369,8,20263,21514,2129,0,155,130,1564,35.8,21056,3169,1684,110,64190,79889,59093,52993,6100,59518,29904,29614,6130,50316,716,73,81,155,1983,43935,21678,22257,11122.0,6914.0
0500000US01011,01,011,"Bullock County, Alabama",2.37,3.14,8738,2463,421,5438,590,426,9752,306,86,220,25,0,9,0,257,15,3106,2512,3394,3394,3149,245,0,4856,2676,309,0,20,32,35,31.8,2347,556,246,0,31310,45506,8769,7731,1038,10058,5476,4582,602,2114,6986,0,0,9,305,7773,4268,3505,2042.0,1831.0
0500000US01013,01,013,"Butler County, Alabama",2.41,3.22,18344,4084,689,11395,1774,925,18197,433,182,251,10,208,0,0,215,0,6964,6282,7744,7741,7240,501,3,7296,6030,583,9,61,53,387,25.0,5947,895,394,4,44755,68109,18380,16124,2256,18630,8647,9983,316,9407,8327,85,0,7,240,14331,6510,7821,3395.0,1708.0
0500000US01015,01,015,"Calhoun County, Alabama",2.48,3.12,111787,28547,8307,67821,16207,6913,112713,3377,1567,1810,658,988,187,32,1450,62,42470,39310,52895,52623,49479,3144,272,41348,41650,3370,111,433,463,2906,25.2,38188,8772,2370,149,55029,73223,114485,102816,11669,116090,56174,59916,5388,80498,25021,194,151,417,3486,89448,42482,46966,20240.0,10665.0
0500000US01017,01,017,"Chambers County, Alabama",2.50,3.09,33523,7300,1535,20333,3621,1933,33487,705,136,569,10,61,12,2,620,0,12289,11034,15210,15118,14341,777,92,12301,11967,1071,48,165,209,624,23.1,11487,1976,823,55,49656,65288,33666,29976,3690,34192,16195,17997,1372,18421,13121,22,3,93,1079,26687,12391,14296,5765.0,3956.0
0500000US01019,01,019,"Cherokee County, Alabama",2.47,3.11,25185,4525,751,15677,3138,1485,24922,521,201,320,252,79,6,26,145,13,9260,8422,10408,10408,10004,404,0,10846,8438,796,64,66,32,437,30.5,7621,1791,536,56,53863,76789,25193,23384,1809,25443,12618,12825,469,22997,964,47,0,18,897,20400,10110,10290,3774.0,3342.0
0500000US01021,01,021,"Chilton County, Alabama",2.55,3.08,45632,9383,1122,26566,5121,1797,43684,2308,798,1510,78,118,43,0,2069,0,16090,14884,20705,20705,19573,1132,0,15173,15421,2016,0,303,185,1233,31.0,15532,2620,1396,25,65603,79550,45696,40606,5090,45992,22446,23546,4707,35126,4328,16,17,415,1183,33572,16306,17266,8261.0,4529.0
0500000US01023,01,023,"Choctaw County, Alabama",2.33,3.08,12252,2353,366,7759,1419,537,12320,60,9,51,0,3,11,0,16,30,4452,3999,4886,4886,4640,246,0,5322,3648,663,0,29,101,105,33.6,3644,748,248,0,47813,66991,12267,11217,1050,12380,5922,6458,144,7007,4645,22,0,6,553,9886,4566,5320,1987.0,1244.0
0500000US01025,01,025,"Clarke County, Alabama",2.63,3.47,22154,4277,805,13629,2371,1229,22291,252,93,159,3,112,0,0,137,0,7047,6206,9259,9252,8402,850,7,9006,7269,377,30,88,182,247,25.1,6743,1139,510,10,49249,75047,22234,20570,1664,22543,10724,11819,275,11524,10054,35,0,135,401,17552,8230,9322,3472.0,2205.0
