GEO_ID,name,state,state_fips,full_fips,alpr_total,avg_household_size,avg_family_size,pop_in_households,pop_in_school,pop_in_college,attainment_gt_12th,attainment_gt_bachelors,pop_veterans,pop_native,pop_foreign_born,naturalized_citizen,not_citizen,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,households_with_computer,households_with_internet,pop_in_labor_force,civilian_labor_force,civilian_labor_force_employed,civilian_labor_force_unemployed,armed_forces,pop_not_in_labor_force,work_commute_drove_alone,work_commute_carpooled,work_commute_public_transport,work_commute_walked,work_commute_other,work_commute_from_home,work_commute_avg_time_minutes,worker_class_private_or_salary,worker_class_government,worker_class_self_employed,worker_class_unpaid_family,median_household_income_dollars,avg_household_income_dollars,pop_noninstitutionalized,pop_with_health_insurance,pop_without_health_insurance,pop_total,pop_male,pop_female,pop_hispanic_alone,pop_white_alone,pop_black_alone,pop_american_indian_alaska_native_alone,pop_native_hawaiian_pacific_islander_alone,pop_other_race_alone,pop_two_or_more_races,pop_citizen_over_18,pop_citizen_over_18_male,pop_citizen_over_18_female,pop_in_school_not_college,attainment_lt_12th_no_diploma
0500000US01035,Conecuh County,AL,1,01035,0,2.53,3.41,11184.0,2040.0,356.0,7210.0,1083.0,640.0,11181.0,94.0,50.0,44.0,0.0,12.0,0.0,0.0,78.0,4.0,3690.0,3211.0,3749,3749,3423,326,0,5510,2778,185,0,59,21,228,28.3,2733,448,221,21,41327,61420,11184,10289,895,11275,5263,6012,117,5632,5066,22,0,11,418,8970,4234,4736,1684.0,861.0
0500000US01053,Escambia County,AL,1,01053,2,2.66,3.53,34103.0,7311.0,932.0,21630.0,3468.0,2075.0,36336.0,293.0,214.0,79.0,74.0,54.0,0.0,13.0,148.0,4.0,11294.0,10114.0,13891,13847,12455,1392,44,15301,10899,663,8,60,115,348,24.6,9866,2135,444,10,48225,63473,34155,31004,3151,36629,17970,18659,862,21968,10770,1011,0,94,1759,28243,14110,14133,6379.0,4007.0
0500000US01063,Greene County,AL,1,01063,0,2.27,3.13,7309.0,1675.0,166.0,4471.0,778.0,420.0,7383.0,41.0,40.0,1.0,0.0,3.0,37.0,0.0,1.0,0.0,2655.0,2160.0,2403,2403,2306,97,0,3561,1941,89,0,35,3,103,29.4,1526,609,171,0,29200,47310,7347,6342,1005,7424,3545,3879,10,1323,6031,9,0,0,48,5821,2689,3132,1509.0,672.0
0500000US01091,Marengo County,AL,1,01091,2,2.36,3.29,18618.0,4314.0,770.0,11050.0,2506.0,1392.0,18546.0,305.0,136.0,169.0,14.0,20.0,0.0,0.0,271.0,0.0,7001.0,6163.0,7750,7750,7433,317,0,7465,6007,597,71,48,180,330,26.4,5788,1293,301,51,43825,70748,18650,16929,1721,18851,8931,9920,506,8349,9576,18,0,0,353,14528,6712,7816,3544.0,1832.0
0500000US01097,Mobile County,AL,1,01097,7,2.5,3.21,404584.0,95911.0,21585.0,250599.0,72843.0,24214.0,398397.0,14193.0,8056.0,6137.0,1541.0,6706.0,1051.0,23.0,4617.0,255.0,153533.0,139490.0,191437,190406,180384,10022,1031,135680,146233,12326,716,1742,1550,14684,26.1,143391,26569,10151,273,58880,81713,408063,365561,42502,412590,197311,215279,14244,226154,147473,1373,119,1898,12456,310892,145536,165356,74326.0,29885.0
0500000US01099,Monroe County,AL,1,01099,0,2.6,3.44,19171.0,3895.0,567.0,11302.0,1569.0,879.0,19259.0,129.0,109.0,20.0,1.0,73.0,0.0,0.0,45.0,10.0,6037.0,5665.0,7204,7120,6382,738,84,8613,5872,183,30,41,15,218,25.5,5055,994,324,9,42292,58409,19106,17366,1740,19388,9288,10100,45,10390,8127,169,26,0,558,15267,7084,8183,3328.0,2141.0
0500000US01105,Perry County,AL,1,01105,0,2.1,2.54,7220.0,2037.0,853.0,4381.0,831.0,238.0,7904.0,127.0,19.0,108.0,18.0,0.0,100.0,0.0,0.0,9.0,2984.0,2598.0,2612,2612,2182,430,0,3978,1728,97,0,87,23,92,28.0,1615,424,143,0,37654,44719,7873,7308,565,8031,3601,4430,17,2236,5720,0,0,0,58,6214,2647,3567,1184.0,890.0
0500000US01119,Sumter County,AL,1,01119,0,2.02,2.63,9724.0,4141.0,2423.0,6036.0,1329.0,283.0,11771.0,107.0,42.0,65.0,18.0,28.0,56.0,0.0,5.0,0.0,4313.0,3666.0,4461,4425,3889,536,36,5364,3042,198,6,156,49,353,23.2,2427,1267,195,0,33310,52781,11737,10723,1014,11878,5266,6612,87,3051,8088,13,0,0,615,9520,4058,5462,1718.0,955.0
0500000US01125,Tuscaloosa County,AL,1,01125,57,2.47,3.12,222780.0,76233.0,38242.0,131986.0,46298.0,11674.0,226494.0,11058.0,4027.0,7031.0,1612.0,3097.0,1209.0,0.0,4851.0,289.0,85628.0,79808.0,120693,120525,113502,7023,168,73518,87297,11108,774,2344,1253,8236,23.3,85617,23341,4356,188,66231,87929,235544,219809,15735,237552,114597,122955,13198,139860,73087,425,17,420,6750,182501,85767,96734,37991.0,12257.0
0500000US01003,Baldwin County,AL,1,01003,28,2.47,3.02,243865.0,50542.0,9199.0,163080.0,59842.0,19604.0,236769.0,10220.0,4791.0,5429.0,2051.0,1950.0,292.0,79.0,5269.0,579.0,93572.0,89266.0,118112,117463,113907,3556,649,82439,89348,6916,99,1348,1721,13035,27.0,89696,15382,8725,104,78775,103378,243859,223666,20193,246989,120360,126629,14276,199426,19824,657,113,1376,8796,190330,91315,99015,41343.0,14548.0
